1533	3190	8183	1153	6195
3762	6698	2021	1703	4210
9924	1474	7287	6254	480
9878	4841	6128	7641	7227
8392	3032	8389	4192	1740
1263	3175	6727	3237	2002
6263	6951	3418	1142	6478
1714	4246	2731	609	816
2903	827	4284	914	8073
9549	2201	8316	4649	8734
3748	1774	7195	6525	2454
5296	417	2831	7701	3947
7818	4598	6026	7146	9034
1572	5665	3617	120	4044
3079	3605	2444	964	3789
201	7200	1881	9900	2710
8271	4180	3370	9740	4646
3150	8599	5646	3363	5453
5255	213	7326	364	3011
6412	6426	6148	1608	7010
2487	3102	4369	5512	1221
4513	5240	4888	6905	8323
9977	2751	5955	4733	6865
2696	3955	1568	5258	9815
7916	2816	5385	955	5438
1976	5821	6539	2861	1460
3718	5025	2657	9494	9863
35	3508	498	3457	5985
2584	8539	3631	8763	1527
1223	7183	8183	1348	5375
6695	6575	5273	4410	7749
8749	7734	3429	6881	3789
8209	9617	5720	8948	9001
1840	8091	2090	7972	7624
3405	9749	1515	290	6137
5318	9544	8125	6529	6556
9017	5552	2241	2864	2507
592	2107	1942	6956	7466
6876	8501	6672	793	1479
6430	5820	8244	3731	4400
1033	9427	2648	8162	7821
795	5747	2080	63	564
4807	500	4429	8311	9621
4440	7201	4699	5521	4959
3109	3666	6820	3306	9786
9576	1428	9118	5177	3452
7677	4759	5940	7413	3524
2247	7898	7711	9106	4176
2499	8051	2059	6653	3613
8656	1165	6832	8559	3066
2584	8053	2688	5910	5637
4480	338	9132	4501	5061
9496	1236	8934	9289	9742
8779	9361	8414	1894	3620
1103	3855	8898	4935	5322
6850	3049	138	9844	5182
6609	6804	2593	5579	8978
7541	621	7445	4229	9277
7316	3969	8352	4608	4448
393	1896	1645	6560	8844
5644	8936	8073	7121	9407
5389	3299	9475	3355	239
105	7330	1973	8708	9612
9718	501	3841	9742	9208
2898	1915	2712	4070	5526
3595	7843	4660	1844	3087
7655	9145	8398	2443	9694
7256	3154	3889	2715	8124
8072	6264	232	3886	2131
2164	9302	7245	1257	6883
1721	5486	2132	3078	1471
2467	8864	9921	3902	6875
9380	6994	3965	5176	9554
5165	7465	4754	2210	2371
5146	5616	9425	9897	8919
4945	7121	5024	8014	5542
9051	2210	3972	986	3796
5710	8632	7821	5770	3102
8870	7241	8625	5608	4484
6106	843	9227	876	5549
9751	2572	1775	857	4120
1503	5134	5643	1758	3246
6589	2384	2673	9434	9735
5873	5759	5783	3098	4317
6842	3654	4968	8389	3267
1642	1336	8426	2528	3891
8534	4387	520	3602	2101
166	3111	8363	9836	9219
8865	297	8286	8084	3528
5667	3509	2810	5882	531
496	7955	7299	3185	2913
6916	808	5407	3101	42
3491	9214	1328	781	5531
9943	4904	2738	7858	5718
7761	6731	302	5972	3937
6810	3719	2581	2832	7456
7674	5548	5053	9701	9885
258	5698	4438	959	922
114	1587	1620	3793	6036
7959	1334	1418	7582	1847
933	9534	4368	1227	4694
8539	9851	5525	5171	5758
9469	930	5253	3062	1279
6255	7538	8701	843	3433
4551	9805	8323	5010	5633
6472	3227	1398	3228	1243
4346	5463	5916	2219	1088
5955	2536	9173	1565	1340
1400	1849	4741	4396	1755
626	193	8907	6726	6669
7271	3669	7466	4851	6546
2852	8773	4772	3237	3381
3709	5527	546	9572	561
6965	6455	304	358	8449
7076	9991	6206	9552	5640
9455	8371	535	2288	4029
7393	1923	5738	9607	1286
4111	6138	7757	4881	2227
5415	8080	7878	5887	8551
1528	3835	184	9344	5371
6119	9805	3698	516	6689
5239	35	4836	6942	8743
8368	3847	4628	201	8767
448	528	9966	3731	4772
3177	342	9636	3877	7668
5540	2914	1163	7210	6865
7721	6059	7726	8223	3350
9619	5192	6740	307	52
1598	5766	4267	7337	6988
7120	4106	1186	9635	7519
4778	4030	9642	2075	2146
6396	3182	6901	8279	1087
8409	6807	2952	7338	20
8940	4156	3942	2748	2313
1312	4748	5918	5602	9027
4944	518	4752	4591	8179
8037	1966	6771	190	7244
6698	2660	6573	6152	2557
8818	5874	2340	7194	6172
8454	4637	3532	392	7286
3021	6099	6972	5846	7233
3880	8747	4264	9918	947
8548	6629	2458	7267	5181
3545	2120	5382	3927	5615
864	6147	9164	8975	4791
9143	8889	8036	9082	197
57	4128	3414	5623	2436
2941	1146	7868	6316	9083
5442	3755	7185	7673	6645
2780	5712	2196	6669	6119
6787	5902	113	1052	125
1843	220	3414	7857	948
3228	3125	1118	5736	7728
5956	9047	9338	7279	7715
8434	1568	7826	2537	5036
5036	1962	5282	8578	4739
9923	3161	6842	8883	296
965	3730	4741	3420	2632
1489	5955	536	4384	2047
9168	9820	8135	9906	9307
5653	916	4611	8202	9618
7468	926	4240	9042	7684
4085	6986	546	1193	5259
3294	6183	1571	4974	1863
3679	7293	6184	960	6605
6288	4148	4598	1424	9778
4528	8475	2072	2518	8914
5832	2063	930	5945	565
296	9379	8141	9910	9345
8536	4687	1083	7602	4447
7175	8661	59	1645	8223
9554	6331	7268	2029	7452
5260	392	4745	1930	8475
1004	1095	5007	9036	4558
8301	3779	695	2079	6103
5666	998	4243	1329	1457
4114	8035	9389	631	500
3448	9710	2355	685	3201
8206	903	2410	7302	5299
7177	1569	2695	8256	7771
2112	4261	8102	2005	4634
395	8098	5340	7537	6850
1179	7049	3697	9913	1086
3722	7135	1390	3254	3441
9372	5026	8960	617	9227
8045	7471	3049	5232	3429
282	6870	7520	4113	7893
1032	4079	5220	6156	6685
3224	2215	9194	7942	2717
1717	3261	9176	3539	1667
5230	7121	6353	8462	3235
2803	1073	6570	5794	8180
6660	5608	1790	9832	3830
9849	9603	136	279	3856
9343	4800	2722	7080	3517
7066	2384	2058	5217	8923
3734	8895	2594	1091	9403
8346	1424	8666	8790	1329
8595	9621	7360	7076	7945
3004	4347	536	3778	1640
